happy,year,age,sex,marital,degree,finrela,health,wtssall
not too happy,1972,23,female,never married,bachelor,average,good,0.4446
not too happy,1972,70,male,married,lt high school,above average,fair,0.8893
pretty happy,1972,48,female,married,high school,average,excellent,0.8893
not too happy,1972,27,female,married,bachelor,average,good,0.8893
pretty happy,1972,61,female,married,high school,above average,good,0.8893
pretty happy,1972,26,male,never married,high school,above average,good,0.4446
not too happy,1972,28,male,divorced,high school,above average,excellent,0.4446
not too happy,1972,27,male,never married,bachelor,average,good,0.4446
pretty happy,1972,21,female,never married,high school,average,excellent,0.4446
pretty happy,1972,30,female,married,high school,below average,fair,0.8893
pretty happy,1972,30,female,married,high school,average,good,0.8893
pretty happy,1972,56,male,married,lt high school,average,fair,1.3339
pretty happy,1972,54,male,married,lt high school,below average,excellent,0.8893
not too happy,1972,49,female,divorced,lt high school,average,good,1.3339
very happy,1972,41,male,married,lt high school,average,excellent,0.8893
not too happy,1972,54,male,married,high school,average,good,0.8893
very happy,1972,24,male,married,high school,average,fair,0.8893
very happy,1972,62,female,married,lt high school,average,fair,0.8893
very happy,1972,46,female,married,bachelor,above average,excellent,1.3339
very happy,1972,21,female,never married,high school,above average,good,1.7786
very happy,1972,57,male,married,high school,above average,good,0.8893
very happy,1972,58,male,married,high school,above average,good,0.8893
very happy,1972,21,male,married,high school,below average,good,0.8893
very happy,1972,26,female,married,high school,average,good,0.8893
pretty happy,1972,71,female,married,bachelor,average,excellent,0.8893
very happy,1972,53,female,married,high school,average,excellent,0.8893
pretty happy,1972,42,male,married,high school,average,excellent,0.8893
pretty happy,1972,42,female,married,high school,average,good,0.8893
pretty happy,1972,20,male,married,high school,above average,excellent,0.8893
pretty happy,1972,23,male,married,lt high school,average,fair,0.8893
pretty happy,1972,26,male,married,lt high school,average,good,0.8893
very happy,1972,25,female,married,high school,below average,excellent,0.8893
pretty happy,1972,26,male,never married,bachelor,above average,excellent,1.3339
very happy,1972,78,female,married,lt high school,average,excellent,0.8893
very happy,1972,21,male,married,high school,above average,good,0.8893
not too happy,1972,27,male,married,high school,average,excellent,0.8893
